Class,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10
Row: Label:: Column: Sample,No1-1,No1-3,No6-1,No6-3,No11-1,No11-3,No16-1,No16-3,No21-1,No21-3,No31-1,No31-3,No36-1,No36-3,No41-1,No41-3,No46-1,No46-3,No51-1,No51-3
Noise3(for silyl),5616,7042,6023,6332,5409,6661,5459,6019,5038,6679,6243,6484,6699,7245,6287,6201,5818,6096,5564,6413
Citramalic acid::C00815,74,73,55,65,56,75,77,81,53,82,63,76,75,89,66,79,50,54,77,101
Malic acid::C00149,80289,72362,73651,72321,125270,104997,124771,105518,110172,103357,106317,92166,122629,111074,112880,92438,111229,99962,119177,106013
Noise4(for silyl),1199,2557,1220,2384,1329,2616,1433,2299,1321,2635,1992,2487,2290,2696,2096,2468,1811,2596,1911,2742
Unknown_16_Sugar like,174,168,166,141,112,129,133,132,126,139,158,140,155,145,142,131,129,115,268,266
meso-erythritol::C00503,80,80,60,78,57,66,66,68,62,72,67,83,67,79,67,64,51,52,143,157
Noise5(for silyl),2954,6220,2996,5495,3215,6190,3411,5392,3264,6110,4817,5843,5472,6309,5218,5726,4538,5838,4811,6288
Adipic acid::C06104,38,139,32,136,51,143,39,130,62,137,113,130,137,148,122,140,109,120,130,152
Unknown_17,717,759,1116,1059,680,725,841,769,754,854,872,848,683,801,966,935,585,649,775,826
Aspartic acid::C00049,42270,46957,66592,67694,41498,45618,51207,48635,46550,54235,54506,53247,41600,49977,60330,57901,36764,39733,48365,50741
Unknown_18_Organic acid like,474,456,410,435,354,364,359,363,314,332,301,318,347,378,419,478,237,291,446,525
Methionine::C00073,105,214,268,381,122,224,150,195,111,168,121,207,121,212,150,258,90,158,120,192
a-Phenylglycine::C18623,94,195,262,354,116,206,142,177,113,149,116,182,127,200,141,292,83,156,119,176
trans-4-Hydroxy-L-proline::C01157,126,148,71,101,71,85,87,95,106,140,98,109,103,110,104,136,238,254,108,136
Pyroglutamic acid::C01879,38391,51272,117129,125652,47985,66407,45077,47980,63451,75618,46091,43158,44790,55872,53565,66038,22365,45721,84319,86076
4-Aminobutyric acid::C00334,4018,4021,5167,5395,5460,6662,4321,4614,2353,2983,2348,2473,8972,9774,9510,10396,2417,3014,6713,8176
Unknown_19_Sugar like,13659,14099,9413,9368,9386,11749,11135,11581,7763,10373,11147,12861,11668,13519,9844,10816,8661,10178,10158,12855
Unknown_20_Organic acid like,113,115,84,67,21,43,76,75,34,36,57,57,55,57,46,46,33,17,141,141
2-Isopropylmalic acid::C02504,57,61,24,33,50,67,50,56,31,57,37,52,37,56,48,62,63,73,132,173
Alpha-Ketoglutaric acid::C00026,163,155,130,146,143,163,172,179,168,196,150,159,104,120,120,108,180,190,258,286
Unknown_21_Organic acid like,577,500,529,517,2,2,471,511,2,2,397,440,367,417,380,443,2,2,2,2
Unknown_22_Organic acid like,332,824,857,3763,520,1543,514,1106,717,2222,512,823,598,1237,810,1177,476,1173,1491,2523
1-Methyl uracil::PubChem:12009,48,117,137,642,77,274,75,182,114,381,69,133,94,210,118,196,71,201,246,424
Unknown_23_Organic acid like,2,152,31,365,19,138,36,126,51,224,23,130,10,49,81,134,131,222,130,244
Unknown_24,562,535,589,566,579,572,584,513,570,584,632,594,506,521,563,537,415,413,684,638
Glutamic acid::C00302,28730,31681,32631,33433,31655,33334,32882,30146,32653,35173,36108,34979,29475,31087,33031,31083,24964,24190,39740,37568
Unknown_25,1122,1129,1238,1157,1192,1154,1199,1036,1186,1206,1341,1193,1085,1075,1193,1068,911,815,1409,1251
Xylose_1(or Lyxose_1)_Minor::C00181,188,214,96,89,109,102,146,142,78,68,90,96,129,124,78,118,63,70,93,109
Phenylalanine::C00079,674,721,1352,1413,416,472,465,490,597,691,461,540,1247,1390,1947,2228,375,469,798,958
Xylose_2_Major::C00181,132,144,131,134,191,208,203,214,146,168,173,197,169,192,279,368,279,349,147,194
threo-3-Hydroxy-L-aspartic acid::C03961,38,43,31,45,76,85,84,94,49,66,55,73,54,68,89,102,74,98,90,101
Arabinose::C00216,953,958,890,903,1307,1387,1358,1391,965,1064,1239,1319,1090,1213,1570,1833,1362,1665,1532,1698
Unknown_26_Organic acid like,116,125,50,50,105,120,91,99,67,101,62,93,111,135,93,124,117,138,235,295
Asparagine::C00152,1237,1294,2771,2937,1023,987,1130,1085,996,1022,1142,1017,1002,1044,1410,1238,630,671,1108,1025
Unknown_27_Organic acid like,246,230,225,205,222,224,240,243,193,222,190,228,236,278,250,269,209,264,154,210
Unknown_28_Sugar,703,684,570,549,463,507,505,500,451,525,468,514,525,579,507,590,395,455,619,685
Unknown_29_Organic acid like,212,176,364,346,187,207,172,177,191,235,112,138,176,190,150,151,93,121,226,278
Arabitol::C01904,297,278,219,226,162,172,211,238,154,193,217,236,155,222,209,241,197,236,236,273
Unknown_30_Organic acid like,360,360,299,276,212,234,283,312,210,235,255,284,210,262,259,301,240,285,306,341
Unknown_31,573,569,526,502,475,536,545,511,450,520,510,545,593,596,539,544,502,497,507,567
Ribitol::C00474,38765,37353,35062,32135,32075,33906,36190,32338,30039,32711,33584,34538,38416,37985,35021,35398,32621,32747,32519,36843
Unknown_32,1536,1432,1364,1232,1239,1287,1398,1226,1160,1247,1286,1323,1471,1453,1351,1379,1263,1270,1255,1420
Unknown_33,264,246,234,212,212,211,239,204,197,216,234,235,262,241,239,210,210,199,222,230
Unknown_34_Sugar like,2858,2838,2962,2935,953,1003,2203,2291,1258,1430,1610,1698,1144,1265,1044,1180,1158,1433,1754,1913
Putrescine::C00134,430,456,462,509,316,351,266,272,345,402,246,279,413,493,327,347,250,270,379,380
Unknown_35,369,393,399,434,433,423,398,420,437,479,302,338,366,493,474,550,363,462,495,599
Unknown_36_Organic acid like,881,919,873,884,953,905,902,901,938,978,769,768,909,1027,866,1065,770,977,1145,1230
Unknown_37_Sugar like,1300,1513,1119,1116,986,1058,1197,1226,867,1018,1029,1183,1102,1220,1397,1583,939,1114,1198,1372
Glutathione Oxidized,1859,2170,2031,2170,1904,1730,2026,1971,2457,2468,2063,1866,1836,1822,2390,2369,2047,2028,2340,2224
Theanine_1_Same_dif::C01047,54404,73424,71095,80100,67608,61471,68514,69439,88835,87033,73984,68305,63760,62329,79633,79574,74040,73015,82243,77128
Unknown_38,850,917,816,778,708,671,838,777,757,799,727,756,716,722,973,996,707,716,873,835
Unknown_39_Sugar like,277,280,125,111,152,157,181,173,89,106,153,154,184,180,190,226,154,153,175,193
Glutamine_3TMS::C00064,38414,35983,115629,131675,55693,50510,37413,37744,67692,67908,26084,22886,39953,42212,37259,31656,18346,27066,70605,59738
2-Deoxy-D-glucose::C00586,83,127,105,125,28,48,57,79,36,57,35,67,105,149,92,118,18,31,71,80
O-Phosphoethanolamine::C00346,578,731,758,722,194,275,405,442,302,332,362,421,669,790,553,755,164,190,415,470
Theanine_2_Same_dif::C01047,47682,26858,58195,43622,38192,30066,34261,26919,43473,42658,32269,26233,28669,26939,37409,30006,27142,27364,32414,32594
Unknown_40_Organic acid like,10435,9943,8940,9394,12708,12206,12528,12235,11274,13247,10820,11138,14449,15273,20115,21262,14708,15131,14491,14377
Unknown_41,1348,1249,1171,1184,1602,1504,1564,1499,1451,1629,1383,1386,1791,1840,2357,2356,1794,1762,1780,1708
Shikimic acid::C00493,14912,13867,12770,13241,19945,18968,19229,18937,17280,20487,16239,17396,22996,24179,33942,34929,23914,24053,24733,24276
Unknown_42,626,682,499,490,586,631,669,630,629,664,552,631,724,769,750,735,474,484,715,714
Citric acid + Isocitric acid::C00158+C00311,23240,24927,18371,17789,21720,22814,24368,23224,25293,27268,20221,22181,28805,31077,26839,27805,15196,15576,27031,28557
Unknown_43_Organic acid like,47044,48981,36824,35388,42922,44753,48179,45597,49479,53212,39543,43385,56709,61094,53180,55301,29729,30828,53323,56834
Unknown_44,5681,5545,4646,4446,4516,4576,5100,4771,4682,4950,4224,4362,5664,5953,5661,5798,3248,3316,6001,6056
Ornithine::C00077,28,55,136,195,18,68,47,56,82,124,24,62,9,2,45,52,83,108,75,137
Unknown_45_Amine like,633,1169,546,973,519,882,656,975,589,989,805,1073,921,1122,958,1198,721,984,977,1278
"3,4-dihydroxybenzoate::C00230",64,78,34,68,42,50,58,71,47,62,50,66,47,88,73,111,101,69,63,82
Citrulline::C00327,35,173,108,330,45,168,64,118,151,240,90,140,58,76,146,188,203,238,205,251
Unknown_46_Organic acid like,255,282,218,195,133,152,223,232,146,140,137,174,208,226,220,197,93,112,795,882
Unknown_47_Organic acid like,479,480,358,340,358,332,362,372,321,296,377,391,444,452,426,475,379,405,550,585
Unknown_48_Organic acid like,186491,3,2,2,2,176855,2,2,2,2,183557,3,2,2,2,2,2,156656,2,2
Quinic acid_like1::C00296,56204,0,0,2,2,54069,2,0,2,2,56384,3,2,2,2,2,0,48006,2,2
Quinic acid_like2::C00296,56273,62792,53671,52295,50325,2,49324,52574,51305,49524,2,56783,56561,53103,53105,49193,49426,2,53187,51309
Unknown_49_Organic acid like,2,203576,175293,170902,164570,2,160507,171806,166667,161897,177050,184471,183558,172785,173004,153802,159686,2,173243,168216
Unknown_50,6177,5651,6323,5960,5773,5728,5462,5510,6079,5787,5517,4971,6112,6050,6173,6323,5168,5148,6241,5949
Quinic acid_like3::C00296,32107,35281,29174,27726,27336,29415,26964,28655,27133,25838,31600,31950,30701,28194,28269,24529,27065,26341,28129,26907
Unknown_51_Organic acid like,176562,201103,162144,161119,152353,170597,150548,166014,152540,151637,2,183300,172752,162312,159611,142809,152517,149490,159702,156060
Fructose_1_Major::C00085,64924,57474,105233,123752,162762,130220,130820,126413,150736,125823,99328,90906,66359,71570,119506,117439,212123,209356,80616,82220
Unknown_52_Organic acid like,26410,23024,43960,48776,63152,51146,50330,49155,57975,49222,40491,36187,26875,28640,48587,46211,86692,84698,32927,32804
Fructose_2_Minor::C00085,33808,29401,53825,59807,81622,71615,63179,64631,75460,80494,48459,45624,33721,35753,59778,64314,116373,100031,40712,41580
Mannose_1_Major::C00159,66,57,72,100,212,192,147,152,155,160,141,143,84,85,193,227,393,497,103,124
Galactose_1_Major::C00124,149,132,199,194,296,269,314,309,287,282,278,292,252,266,447,520,533,644,314,355
Glucose_1_Major::C00031,34072,30125,51832,56070,88640,67111,67375,60773,72593,66712,57510,53938,40154,38391,67736,69971,121007,123959,35637,36625
Unknown_53,9087,7999,14003,15229,24390,19086,18750,17230,20247,19003,15648,14557,10653,10261,18849,19904,32536,32408,9435,9777
Caffeine::C07481,113182,128658,108997,94975,84058,110143,107722,105963,73897,81805,106234,111769,103215,107099,84320,91630,92196,89516,65469,81276
Unknown_54_Organic acid like,188,372,347,364,316,310,468,345,347,278,384,327,388,267,502,392,329,282,405,377
Mannose_2(orAllose_2)_Minor::C00159,41,69,45,58,43,82,84,87,58,67,64,85,69,56,80,88,109,112,40,52
Glucuronate_1_Major::C00191,22,93,60,65,64,58,100,62,83,66,79,67,87,36,133,129,69,80,125,110
Galactose_2_Minor::C00124,403,395,337,327,226,216,251,246,176,189,198,235,331,372,268,294,169,180,393,447
Unknown_55_Sugar like,988,987,844,786,535,545,590,583,421,467,489,546,787,902,606,724,375,396,951,1051
Glucose_2_Minor::C00031,4450,3846,5782,5751,9350,8929,7195,8129,8100,8999,6076,6262,4752,4728,7321,9294,15360,17321,4139,4705
Unknown_56_Organic acid like,286,326,261,273,210,226,275,279,258,318,250,303,251,287,268,302,214,264,219,287
"Glucono-1,4-lactone::C03107",393,363,352,278,241,233,376,341,202,206,337,378,285,306,274,320,370,376,285,317
Unknown_57_Organic acid like,564,3,2,2,374,2,567,518,2,2,537,556,2,2,2,2,525,560,2,2
Unknown_58_Organic acid like,496,610,663,530,387,465,2,458,348,425,2,541,609,735,560,671,2,529,485,515
Lysine_4TMS_Major::C00047,659,755,1592,1558,457,490,549,579,680,712,499,580,1025,1152,1496,1635,519,616,821,850
Histidine::C00135,215,562,819,1138,304,442,437,578,432,446,379,507,355,440,543,589,338,475,732,734
Galactosamine_1_Major::C02262,24,79,155,255,50,46,80,113,78,73,58,98,61,81,97,109,63,78,145,142
Unknown_59_Organic acid like,142,157,141,179,109,107,118,107,100,133,110,107,98,131,127,131,96,122,110,144
Galactitol::C01697,328,316,239,187,151,140,210,162,166,118,177,179,163,159,140,150,151,117,180,169
Unknown_60_Organic acid like,1798,1891,1138,843,795,673,1075,793,676,344,1228,972,798,711,744,933,808,527,979,747
Galactosamine_2_Minor::C02262,155,150,134,146,152,179,161,178,138,184,120,204,151,200,114,151,168,233,105,211
Unknown_61,3448,3267,2228,2142,2482,2361,2728,2488,2126,2016,2489,2722,2864,2784,2044,2016,2938,2628,2388,2462
Pyridoxal::C00250,37,63,151,188,11,19,36,42,39,57,31,54,201,234,245,345,25,46,60,80
Tyrosine::C00082,893,1096,2368,2519,479,559,752,780,834,907,771,916,2928,3199,3428,4309,673,868,1136,1287
Glucarate_Minor::C00818,73,57,135,122,236,187,158,153,195,181,141,130,95,96,175,196,348,343,87,71
Gallic acid::C01424,2246,3115,2208,2174,2147,2362,2480,2610,1903,2338,2128,2878,2322,2694,2392,2757,2246,2551,1575,2156
Unknown_62_Organic acid like,90,395,59,324,100,126,100,118,208,110,125,98,86,83,239,1231,283,150,713,55
Unknown_63_Sugar like,214,261,213,238,226,179,244,241,224,304,193,275,147,222,172,270,171,298,233,366
Coniferyl aldehyde_1_Major::C02666,53,44,62,64,126,72,108,48,86,95,69,64,57,41,74,86,123,113,52,88
Glucarate_Major::C00818,219,159,287,116,393,109,347,139,276,138,191,124,154,80,209,97,373,131,174,95
Unknown_64_Sugar like,2444,2288,2250,2176,1759,1670,2207,2222,2090,2317,2067,2214,2137,2433,2698,3341,1925,2173,2352,2647
Unknown_65_Organic acid like,334,245,146,183,274,214,174,234,161,232,221,141,305,236,185,358,185,150,192,186
Gluconic acid::C00257,165,175,147,146,155,151,187,190,179,163,183,165,174,182,304,337,197,171,235,208
Unknown_66_Organic acid like,1165,1382,846,1085,1003,1089,986,1112,971,1134,851,990,936,1126,1125,1272,884,1063,1149,1246
Unknown_67_Sugar like,2,3,44,176,122,272,64,256,80,230,132,232,54,34,167,333,375,659,23,157
Unknown_68_Organic acid like,379,534,162,251,81,235,109,195,64,54,148,279,135,205,73,370,145,220,318,384
Unknown_69,417,429,298,282,301,300,384,364,310,308,340,367,346,385,413,481,344,386,545,569
Inositol::C00137,23358,22868,23129,22337,12790,14529,19620,19623,15820,17906,19827,22490,26461,28903,30942,30830,18551,19246,20073,20815
Lanthionine::PubChem:102950,102,105,98,97,78,82,92,103,76,86,76,101,87,101,111,122,90,108,134,158
Unknown_70_Sugar like,2124,2060,1975,1850,1608,1663,1924,1892,1677,1854,1707,1891,1792,1937,2085,2508,1842,2032,2480,2934
Unknown_71,770,740,719,687,603,588,714,691,627,661,598,663,654,703,770,881,663,698,926,1025
Unknown_72_Organic acid like,95,107,132,103,43,61,125,137,83,87,75,116,75,62,100,74,64,86,101,117
Unknown_73_Organic acid like,92,83,91,104,78,81,102,110,77,77,71,79,138,148,116,114,91,92,68,32
Unknown_74,1534,1598,1150,1113,1023,1031,1379,1325,1155,1205,1238,1480,1121,1221,1642,1720,1055,1183,571,661
Unknown_75,634,652,454,434,415,399,567,518,451,478,513,592,454,482,667,734,431,459,202,215
Unknown_76_Sugar phosphate like,379,381,271,278,78,77,146,147,40,49,119,164,213,253,80,107,36,48,103,126
Unknown_77_Organic acid like,95,117,71,87,64,59,73,92,55,41,62,85,80,74,78,48,77,55,72,95
Unknown_78,814,872,474,437,431,458,652,641,319,341,619,741,888,898,581,636,679,679,647,781
Unknown_79_Organic acid like,288,271,133,120,168,156,234,220,127,119,223,272,301,318,205,251,248,256,233,249
Tryptophan::C00078,1090,2329,2408,3183,722,1241,1115,1687,1008,1403,1089,1947,1722,2743,1955,3152,1150,1750,1711,2648
Octadecanoate::C01530,1406,424,659,338,272,296,296,281,304,315,296,448,351,410,299,469,303,328,285,346
Unknown_80_Sugar like,686,606,620,573,511,452,585,560,516,485,454,537,587,622,656,698,486,522,615,702
Unknown_81_Sugar phosphate like,230,259,157,173,138,170,207,212,165,185,185,244,205,240,136,143,168,177,189,233
Unknown_82_Organic acid like,2,488,2,2,2,2,376,368,299,308,371,429,2,408,2,327,2,329,386,403
Fructose 6-Phosphate_1::C00085,131,145,91,103,65,97,97,95,70,88,98,135,139,153,78,91,89,94,95,115
Unknown_83_Organic acid like,620,665,515,512,457,510,546,513,457,475,457,506,703,684,503,579,492,515,560,565
Unknown_84,832,898,769,771,729,725,808,829,794,770,569,679,951,1057,737,818,688,800,810,896
Fructose 6-Phosphate_2::C00085,702,803,529,515,459,529,564,595,525,539,625,774,662,767,388,408,474,583,537,674
Unknown_85_Sugar like,3156,2826,2299,2013,2597,2322,2662,2551,2166,2061,2202,2384,2890,3163,2844,2413,2476,2387,2014,2080
Unknown_86_Organic acid like,136,97,139,162,185,132,129,105,117,84,2,109,188,219,168,211,108,120,136,176
Unknown_87_Organic acid like,250,350,208,248,256,301,273,296,219,276,217,305,335,395,306,1542,293,344,226,303
Unknown_88_Organic acid like,108,611,115,523,175,724,167,588,187,599,180,619,283,779,284,961,264,749,240,690
Unknown_89_Organic acid like,75,103,54,62,47,46,59,60,52,2,50,74,48,75,70,104,61,75,71,97
Unknown_90_Organic acid like,89,34,2,95,97,88,124,114,95,99,88,111,63,53,124,262,102,115,83,77
Unknown_91,280,271,213,211,259,277,277,275,223,233,240,291,286,290,285,259,297,329,144,136
Unknown_92_Sugar like,349,355,263,265,331,370,350,346,268,319,312,375,368,385,369,327,383,419,169,161
Unknown_93,618,652,478,459,571,601,621,585,474,502,534,659,645,688,605,505,578,613,291,304
Unknown_94_Organic acid like,107,98,98,110,84,95,89,94,66,90,70,88,73,71,97,61,52,87,40,35
Unknown_95,298,302,256,272,231,250,257,262,195,200,206,260,261,280,268,275,177,205,85,86
Sucrose::C00089,117967,130374,114542,110004,98079,113603,93657,107690,101896,103099,115510,118624,109806,108480,110859,100929,91882,94254,110159,107916
Unknown_96_Organic acid like,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2
Unknown_97_Sugar like,58127,38173,39637,18243,39141,17130,47774,25472,34733,13449,29756,20606,36175,22338,35043,15399,29086,9535,32310,11196
Unknown_98_Sugar like,576,688,433,496,468,546,572,649,481,594,489,657,682,765,665,760,622,661,509,597
Unknown_99,718,788,553,562,567,633,668,696,611,668,592,758,796,877,785,838,732,733,582,660
Unknown_100_Organic acid like,49,79,56,70,44,39,61,75,48,52,56,63,78,120,125,150,60,84,144,113
b-Lactose_1_Major::C01970,57,69,51,58,42,32,62,63,43,36,45,40,82,82,81,108,44,59,120,75
Maltose_1_Major::C00208,130,141,118,105,32,35,93,91,133,146,150,199,446,456,82,92,189,170,301,360
Trehalose::C01083,104130,128168,77901,101251,83480,106514,95914,106076,81158,99694,96705,114638,113184,112669,109213,108600,92193,99277,107207,111890
Maltose_2_Minor::C00208,836,1043,634,691,678,678,734,726,635,669,666,803,859,991,826,925,658,614,833,887
