"","L1-1","L1-2","L1-3","L1-4","L1-5","L2-1","L2-2","L2-3","L2-4","L2-5"
"Threonic acid","-0.51427821","-0.10558030"," 0.03065234"," 0.50746658"," 0.47340842","-0.85485981"," 1.66544401"," 0.33717578"," 0.54152474","-2.08095356"
"Thr-Asp"," 1.7437146"," 0.3487429"," 0.3487429"," 0.3487429"," 0.3487429"," 0.3487429","-1.0462287"," 0.3487429","-1.7437146","-1.0462287"
"Thr","-1.5747488"," 0.9375531"," 0.6457078"," 0.8013586"," 0.6651642"," 0.1690271","-0.1495707"," 0.7746062","-1.8106571","-0.4584404"
"Thiaproline","-1.2894417","-1.0619768","-0.7776456","-0.4506648","-0.4506648"," 0.1322140"," 0.5871438"," 0.7861756"," 0.5444941"," 1.9803663"
"Thiamine phosphate","-0.292243483","-1.209085783","-0.464151414","-0.865269921","-0.063032908"," 2.229072842"," 0.452690886"," 0.911112036","-0.005730264","-0.693361989"
"Thiamine"," 1.53459742"," 1.98929295","-0.05683694","-0.05683694","-0.73888024","-0.51153247","-0.85255412"," 0.17051082","-0.62520636","-0.85255412"
"Theobromine"," 1.6995740"," 1.3787653"," 0.3874814"," 0.3897301"," 0.3069045","-0.6341594","-0.8886326","-0.4902452","-0.8848848","-1.2645335"
"Taurocholic acid","-0.1400564","-0.4868628"," 0.7803144"," 0.5097292"," 1.7368903","-0.4449412","-1.5596760","-0.7021877","-0.7650702"," 1.0718604"
"Taurine"," 0.07302259"," 0.02545998","-0.08645203","-0.68518132","-1.46856544"," 0.40316304"," 1.37679759","-1.43219404"," 1.46352940"," 0.33042023"
"Succinic acid"," 1.13358265"," 0.64406648"," 1.13465147"," 1.34200111","-0.05279934","-0.62140765","-1.46470080","-0.93991381","-0.81486273","-0.36061737"
"Suberic acid","-0.76883512","-0.76883512","-0.76883512","-1.19055903","-0.93103663"," 0.04217239"," 1.01538141"," 1.33978441"," 0.85317991"," 1.17758291"
"Stachydrine"," 0.6832396"," 0.8761193"," 1.5066879"," 0.8983747"," 0.5274520","-0.4740392","-1.1120262","-0.8152880","-1.2678137","-0.8227065"
"Spermine"," 1.0595661"," 0.8669178"," 0.2889726"," 1.0595661"," 1.2522145","-0.6742694","-0.6742694","-0.8669178","-1.0595661","-1.2522145"
"Spermidine"," 0.8386119"," 1.0616470"," 0.4594523"," 1.3738961"," 0.7493978","-0.4549916","-0.5888126","-1.1240968","-1.0794898","-1.2356143"
"Sorbitol 6-phosphate"," 0.8639732"," 0.1191687"," 1.6087777"," 0.8639732"," 0.8639732","-0.6256358","-1.2214794","-0.6256358","-0.6256358","-1.2214794"
"S-Nitrosoglutathione","-1.07813493","-1.07813493"," 1.12714106"," 1.12714106"," 1.12714106"," 0.51456440","-0.09801227","-1.07813493","-1.07813493"," 0.51456440"
"S-Methylmethionine"," 0.8338043"," 0.8898898"," 0.7029381"," 1.1890124"," 0.1981687"," 0.4785962","-1.7835186","-0.6431136","-0.9609314","-0.9048459"
"S-Lactoylglutathione"," 0.7089554"," 0.8861943"," 1.1520526"," 1.2406720"," 0.6203360","-0.6203360","-1.1520526","-0.7975749","-0.8861943","-1.1520526"
"Serotonin"," 1.1785113","-0.2357023"," 0.2357023"," 0.2357023"," 1.1785113","-1.6499158"," 1.1785113","-0.2357023","-0.7071068","-1.1785113"
"Ser-Glu"," 2.30972429"," 0.56287399","-0.40759840"," 0.17468503"," 0.36877951","-0.01940945","-0.79578736","-0.01940945","-1.18397632","-0.98988184"
"Ser","-0.7573792"," 0.5827705"," 0.9914883"," 0.5021391"," 1.4224493","-0.3903672","-0.6545046"," 0.7746176","-1.7805640","-0.6906497"
"Sedoheptulose 7-phosphate","-0.70414333"," 0.54242620"," 2.05852428"," 0.50873513"," 0.84564582","-0.87259867","-0.63676119"," 0.07075124","-0.60307013","-1.20950936"
"SDMA","-0.6095569","-1.0159282","-0.6095569","-1.0159282","-1.0159282"," 1.8286707"," 0.6095569"," 0.2031856"," 0.6095569"," 1.0159282"
"Sarcosine","-0.84798876"," 1.73008746"," 1.19860713"," 0.97120758"," 0.06160941"," 0.06689777","-1.00399543","-0.84270040","-1.04894650","-0.28477827"
"S-Adenosylmethionine"," 1.1290950","-1.0825344","-0.7682502"," 0.1629622"," 1.4200988","-1.0476139"," 0.2444432"," 1.0243336"," 0.2095228","-1.2920571"
"S-Adenosylhomocysteine","-1.0992969"," 1.9555913"," 0.7290074"," 0.8678659"," 0.3124317"," 0.2314309","-1.0992969","-0.5785773","-0.9025806","-0.4165757"
"Saccharopine","-0.7995940"," 0.3675470"," 1.1865934","-0.1648331","-0.8712605"," 2.0261158","-0.8303082","-0.3491185","-0.9736413"," 0.4084994"
"Ribulose 5-phosphate","-0.03796023","-0.52602026","-0.87308518"," 0.25487580"," 1.51298611","-0.23318424","-0.36333358"," 1.37199099"," 0.65616961","-1.76243902"
"Ribulose 1,5-diphosphate"," 1.027872","-1.256289","-1.256289","-1.256289"," 1.027872","-0.114208"," 1.027872","-0.114208"," 1.027872","-0.114208"
"Ribose 5-phosphate"," 1.9378267"," 0.5284982"," 0.8808303","-0.5284982","-0.5284982","-0.5284982","-0.8808303","-0.5284982"," 0.8808303","-1.2331625"
"Rhein"," 0.05311607","-1.27478562","-0.21246427"," 1.64659809"," 1.91217843","-0.47804461","-0.47804461","-0.47804461","-0.21246427","-0.47804461"
"Quinolinic acid","-1.3136974","-1.3136974"," 0.4509708","-0.5294005","-0.5294005"," 1.4313420"," 0.4509708","-0.5294005"," 0.4509708"," 1.4313420"
"Pyruvic acid"," 1.1268871"," 1.7383762"," 0.9521759"," 0.5153980","-0.1397689","-0.8386136","-0.8386136","-0.8386136","-0.8386136","-0.8386136"
"Pyridoxamine 5'-phosphate","-1.27736433","-1.13595868","-0.94741782","-0.75887696"," 0.08955691"," 1.78642465"," 0.32523298"," 0.60804428"," 0.46663863"," 0.84372035"
"Pyridoxal","-0.9526607","-1.2675899","-0.9526607","-0.7558300","-0.5589993"," 1.2124773"," 0.8188159"," 0.4251544"," 0.6219851"," 1.4093081"
"Pyridine-2-carboxylic acid butyl ester","-0.1639986"," 0.5814495"," 1.3268975"," 0.5814495"," 0.5814495"," 0.5814495","-1.3567154","-1.3567154"," 0.5814495","-1.3567154"
"Putrescine"," 2.4663249"," 0.2642491"," 0.7046643","-0.1761661","-0.1761661","-0.6165812","-0.1761661","-0.6165812","-0.6165812","-1.0569964"
"Pterin","-1.3580362","-0.8148217","-0.5432145"," 0.2716072"," 1.0864290"," 2.1728579","-0.2716072"," 0.0000000","-0.2716072","-0.2716072"
"Propionyl CoA_divalent"," 1.3481289"," 1.3481289","-0.1497921","-1.6477131","-0.1497921"," 0.8488219","-1.1484061","-0.1497921"," 0.3495149","-0.6490991"
"Propionic acid","-0.4735213","-0.4735213","-0.6912322","-0.8000876","-0.9089431"," 2.1934375","-0.2558103","-0.3646658"," 0.7783165"," 0.9960275"
"Pro","-1.191111256"," 1.958713306"," 0.544780134"," 0.921739547"," 0.124892959"," 0.049769374","-0.908056323","-0.002548836","-1.311845587","-0.186333318"
"p-Nitrophenyl phosphate"," 1.3111246"," 0.6210590"," 1.3111246","-0.7590721"," 0.6210590","-0.7590721","-1.4491377","-0.7590721","-0.7590721"," 0.6210590"
"Pipecolic acid","-0.6213598"," 1.1816932"," 1.7087395","-0.4826634","-1.4257989"," 0.1830792","-0.3717063","-0.3439670","-0.8432740"," 1.0152576"
"Pimelic acid","-1.2722695","-1.2722695","-1.2722695"," 0.4116166","-0.5238757"," 0.8793628"," 0.4116166"," 1.3471089"," 0.4116166"," 0.8793628"
"Phosphorylcholine"," 1.0483528"," 1.2645450"," 1.3909564"," 0.7567446","-0.5152701","-1.0166063","-0.7522915","-1.1961679","-0.5856583","-0.3946047"
"Phosphoenolpyruvic acid"," 1.1774797"," 0.7395740"," 0.2530122"," 1.7613539"," 0.3503245","-0.6227992","-1.0607048","-0.9147363","-0.7687677","-0.9147363"
"Phosphocreatine","-1.2258032","-0.8442302","-0.1287809","-0.6057471","-0.6057471"," 1.0636347","-0.1287809","-0.3672640"," 0.8251516"," 2.0175671"
"Phenaceturic acid"," 0.28720094"," 0.93993034"," 1.91902444","-0.03916376","-1.93207903","-0.36552846","-0.36552846","-0.36552846","-0.36552846"," 0.28720094"
"Phe","-0.7283113"," 0.5927581","-0.5062185"," 0.2136686"," 1.2666950"," 0.9412141"," 0.4166155"," 0.7880466","-1.6894372","-1.2950309"
"Pelargonic acid","-0.4235143","-0.8442239"," 0.1374318","-0.1430413","-0.1430413"," 1.1190875","-1.5173593","-0.8442239"," 0.9788510"," 1.6800337"
"Pantothenic acid","-0.9034054","-0.8209026","-0.5321429","-0.9034054","-0.7383999"," 1.2004154"," 1.2004154","-0.4908915"," 0.3753876"," 1.6129293"
"Oxypurinol"," 0.7966959","-0.6766765","-1.7201288","-0.5915882","-0.6139798"," 1.3251396"," 1.0206127","-0.7796783"," 0.7743043"," 0.4652991"
"O-Succinylhomoserine","-1.0148890","-0.8668501","-0.9490939","-1.0148890","-0.7846062"," 0.6135390"," 0.9425144"," 1.4359774"," 0.8602705"," 0.7780267"
"Ornithine","-0.5191379"," 1.7224946"," 1.5754449"," 0.7841775","-0.2994387","-0.2276644","-0.8587527","-0.5340180","-1.0977084","-0.5453968"
"Ophthalmic acid","-0.994607075","-0.543985569","-0.685357022","-0.923921349","-1.003442791"," 0.799043232"," 1.514736212"," 1.535352882"," 0.307188386","-0.005006906"
"Octanoyl CoA_divalent","-0.4583788","-0.4583788","-0.4583788"," 2.3792045"," 1.2878263","-0.4583788","-0.4583788","-0.4583788","-0.4583788","-0.4583788"
"O-Acetylcarnitine"," 0.8392660","-0.4091483"," 1.1464930"," 1.0977268"," 1.3269279","-1.2966928","-1.0723684","-0.5847066","-0.2726030","-0.7748947"
"omega-N-Methylarginine","-0.62944075"," 2.16807368"," 1.46869507"," 0.06993786","-0.62944075","-0.27975144","-0.62944075","-0.27975144","-0.62944075","-0.62944075"
"N-Methylproline","-0.2218530"," 1.3628112"," 1.3628112"," 0.5704791","-1.4895844","-0.2218530","-1.4895844"," 0.5704791","-0.2218530","-0.2218530"
"N-Methylglutamic acid","-0.9048939","-1.5512466","-0.6278855","-0.5355494","-0.7202216"," 0.9418283"," 1.0341644"," 1.3111727"," 0.9418283"," 0.1108033"
"N-Methylalanine","-1.26862252"," 0.76743832"," 1.55053864","-1.26862252","-0.01566201"," 0.76743832","-1.26862252","-0.01566201","-0.01566201"," 0.76743832"
"Nicotinic acid","-1.5108507","-1.5108507","-0.4506046"," 0.8747030"," 0.8747030","-0.4506046"," 0.8747030","-0.4506046"," 0.8747030"," 0.8747030"
"N-Ethylmaleimide_+H2O"," 0.4530598"," 0.1045523","-1.2894778"," 0.1045523"," 0.1045523"," 1.4985823"," 1.1500748"," 0.4530598","-1.2894778","-1.2894778"
"N-Carbamoylaspartic acid","-0.3162278","-0.3162278"," 2.8460499","-0.3162278","-0.3162278","-0.3162278","-0.3162278","-0.3162278","-0.3162278","-0.3162278"
"NADPH_divalent","-0.1896113","-0.5343592"," 1.5341281"," 0.8446323","-0.1896113","-0.8791071","-0.7067332","-1.0514811","-0.5343592"," 1.7065020"
"NADP+","-1.138180770","-0.982265596","-0.007795759"," 0.343013383"," 1.785228743","-0.358604900","-0.631456455","-0.475541281"," 1.629313569","-0.163710933"
"NADH","-0.1752245","-0.6132857"," 0.7008980"," 2.0150817"," 0.4818674","-1.0513470","-0.6132857","-1.0513470","-0.6132857"," 0.9199286"
"NAD+","-0.9095038","-0.8042912","-0.2431578"," 0.3998076"," 1.9195439","-0.4652731","-0.5471051","-0.6756982"," 1.6039064","-0.2782287"
"N-Acetyl-beta-alanine","-0.6980101"," 0.1745025","-0.6980101","-1.2796851","-1.2796851"," 1.9195277"," 0.4653400"," 0.1745025"," 0.7561776"," 0.4653400"
"N-Acetylphenylalanine"," 0.3431772"," 0.3431772"," 1.1057932"," 1.2964472"," 1.2964472","-0.8007468","-1.1820548","-0.4194388","-0.9914008","-0.9914008"
"N-Acetylornithine"," 1.80680421"," 1.17652367","-0.39917767"," 0.54624313"," 0.33614962"," 0.02100935","-0.81936470","-0.18908416","-1.23955172","-1.23955172"
"N-Acetylneuraminic acid","-0.4790429"," 1.3173679"," 1.3173679","-0.4790429"," 0.4191625"," 1.3173679","-1.0778465","-0.4790429","-0.7784447","-1.0778465"
"N-Acetylmethionine"," 0.07297564"," 0.43785383","-0.65678074"," 0.07297564","-1.02165894"," 2.26224479"," 0.80273202","-0.29190255","-0.65678074","-1.02165894"
"N-Acetylleucine","-0.5247836"," 0.4198269"," 1.6793074"," 1.6268291"," 0.3148701","-0.4723052","-0.9970888","-0.2099134","-0.7871754","-1.0495671"
"N-Acetylhistidine","-0.1358965"," 0.8606777"," 1.0418730"," 0.6794824"," 1.1324706"," 0.6794824","-1.4948612","-0.5888847","-1.0418730","-1.1324706"
"N-Acetylglutamic acid","-0.7986268"," 1.2831454"," 1.9463649","-0.1169845","-0.7617812"," 0.8686333","-0.7802040","-0.5130739","-0.7525699","-0.3749032"
"N-Acetylglucosamine 6-phosphate","-0.4719104","-0.9009198","-0.9009198","-0.9009198","-1.0439229"," 0.6721148"," 0.9581210","-0.1859041"," 1.3871304"," 1.3871304"
"N-Acetylglucosamine 1-phosphate","-0.3001240","-0.5729641"," 0.2455560","-1.6643242","-1.1186442"," 0.7912361"," 0.7912361","-0.5729641"," 1.3369162"," 1.0640762"
"N-Acetylglucosamine"," 0.4458847","-0.4640840","-1.1920590","-0.6157455","-1.0100653"," 1.2345242"," 1.9321669","-0.5854132","-0.1304288"," 0.3852201"
"N-Acetylaspartic acid","-1.0381629","-0.4988575"," 1.8606037","-0.4988575","-0.1617916","-0.1617916","-1.0381629","-0.4988575"," 0.5123401"," 1.5235378"
"N8-Acetylspermidine"," 0.7745967"," 0.7745967"," 0.7745967"," 0.7745967","-1.1618950"," 0.7745967","-1.1618950"," 0.7745967","-1.1618950","-1.1618950"
"N6-Acetyllysine","-0.79967098"," 2.31016062"," 0.53311399","-0.35540933"," 0.53311399"," 0.08885233","-0.79967098"," 0.08885233","-1.24393264","-0.35540933"
"N6,N6,N6-Trimethyllysine","-0.5070926","-0.5070926","-0.7606388","-0.2535463"," 2.0283702"," 0.2535463"," 1.5212777","-0.2535463","-0.5070926","-1.0141851"
"N5-Ethylglutamine"," 0.77371273"," 1.77667367"," 1.06027300"," 0.48715246","-0.65908862","-0.08596808","-1.23220916","-0.51580849","-1.23220916","-0.37252835"
"N1-Acetylspermidine"," 1.0569964"," 0.1761661"," 1.0569964","-0.7046643","-0.7046643"," 1.0569964"," 1.0569964","-0.7046643","-1.5854946","-0.7046643"
"N,N-Dimethylglycine","-0.8192702"," 1.2571344"," 1.3449582"," 1.3763238"," 0.1969761","-0.1292264","-0.9698252","-1.0513759","-0.9321865","-0.2735083"
"myo-Inositol 2-phosphate","-1.2541194","-1.4631393"," 0.9405896"," 1.5676493"," 0.4180398","-0.3135299","-0.8360796"," 0.8360796"," 0.4180398","-0.3135299"
"Mucic acid","-0.621059","-0.621059","-0.621059","-0.621059","-0.621059","-0.621059"," 1.449138"," 1.449138"," 1.449138","-0.621059"
"Methionine sulfoxide","-0.9717316","-0.3643993"," 0.2429329","-0.3643993"," 0.2429329"," 2.0649296"," 0.8502651"," 0.2429329","-1.5790638","-0.3643993"
"Met","-0.9420387","-0.1755129","-0.7629439","-0.8704008","-0.7629439"," 1.8661679"," 0.9850214"," 0.7056335","-0.7987628"," 0.7557801"
"Malic acid"," 1.82206115"," 0.91312240"," 1.31715885","-0.11960625","-0.54885917","-0.08636637","-0.93169088","-0.60330380","-0.92080195","-0.84171397"
"Lys","-1.0316220"," 1.2754311"," 0.4084662"," 0.7049549"," 0.9392340"," 0.4455273","-0.8979374"," 0.5778883","-1.7066634","-0.7152791"
"Leu","-0.8410588"," 0.5767260","-0.3697989"," 0.4138543"," 1.2922935"," 0.7929983"," 0.2803529"," 0.8437288","-1.7128229","-1.2762733"
"Lauric acid","-1.1556765","-1.0696460","-0.7542008","-0.6968471","-0.4387556"," 0.5936105"," 0.3928726"," 0.3068421"," 0.8230252"," 1.9987754"
"Lactic acid"," 1.56079864"," 1.31484776"," 0.66463278"," 0.62505448"," 0.05399611","-0.36440309","-1.06267743","-0.70081866","-0.87326698","-1.21816362"
"Kynurenine","-0.56886341","-0.41916251"," 0.02994018","-0.11976072","-0.26946161"," 2.27545363","-0.41916251","-0.71856431","-1.01796610"," 1.22754736"
"Isovaleric acid","-0.74440720","-0.09474273"," 0.44664432"," 0.44664432","-0.74440720"," 2.34149900","-0.74440720","-0.74440720","-0.74440720"," 0.58199108"
"Isopropanolamine","-1.8480290"," 1.3460952"," 0.2053366"," 1.3460952"," 0.2053366"," 0.2053366","-0.9354221"," 0.2053366"," 0.2053366","-0.9354221"
"Isonicotinamide ; Nicotinamide"," 1.5564932","-0.0347577","-0.9037002","-0.5153915"," 1.0785748"," 1.1437455","-0.1162211"," 0.1851934","-1.4304965","-0.9634400"
"Isocitric acid"," 1.2199072"," 0.9401120"," 1.0800096"," 0.1007263","-0.1790690","-0.1790690","-0.3189666"," 0.3805215","-1.0184547","-2.0257175"
"Isobutyryl CoA_divalent","-0.28008395","-0.07106608"," 1.39205905"," 1.60107692"," 1.18304117","-0.69811970","-1.03254830","-0.69811970","-0.69811970","-0.69811970"
"Isobutyric acid ; Butyric acid","-0.7846716","-0.8718573"," 1.1334145"," 1.0462287","-0.6103001"," 1.7437146","-0.9590430","-0.8718573","-0.1743715"," 0.3487429"
"Isobutylamine"," 0.99082301"," 0.17867300","-2.42020702"," 0.17867300"," 0.44938967","-0.90419368"," 0.17867300"," 0.72010634","-0.09204367"," 0.72010634"
"Isethionic acid"," 1.9503209"," 0.5713061"," 0.5713061","-0.1182013","-0.1182013","-0.6107065"," 0.2758030","-1.5957171"," 0.2758030","-1.2017129"
"Inosine"," 2.13163609","-0.84626240","-1.40215699"," 0.06861587"," 0.78355386"," 0.31551183"," 0.38670269","-0.22220636","-0.36458808","-0.85080650"
"IMP"," 1.4258074","-1.4556477","-0.2806854","-0.8028909"," 0.8756267"," 1.2486306"," 0.3440961","-0.2247349"," 0.1389440","-1.2691458"
"Imidazolelactic acid"," 0.6469966","-1.6174916","-0.9704950"," 0.6469966"," 1.2939933"," 1.2939933","-0.3234983"," 0.3234983","-0.3234983","-0.9704950"
"Imidazole-4-acetic acid","-1.5790638","-1.5790638"," 0.8502651"," 0.8502651","-0.3643993"," 0.8502651"," 0.8502651","-0.3643993","-0.3643993"," 0.8502651"
"Ile","-1.1574510"," 0.5688863","-0.3546595"," 1.0161239"," 1.4901958"," 0.2379304"," 0.3117246"," 0.5286349","-1.4548641","-1.1865215"
"Hypoxanthine"," 0.1905897","-1.2582650","-1.2707016","-0.7110581","-0.4965281"," 1.3751683"," 1.6860814","-0.2042699"," 0.3273914"," 0.3615919"
"Hypotaurine","-1.1637401"," 1.3133866"," 1.2677497"," 1.0767117"," 0.2074885"," 0.4017106","-0.9695181","-0.9663341","-1.0278908","-0.1395639"
"Hydroxyproline","-0.9027067"," 1.7883812"," 1.2887700"," 0.9935451","-0.6529011","-0.1078706","-1.0843835","-0.3349666","-0.7437395","-0.2441282"
"Homovanillic acid"," 0.0568586"," 2.0062964"," 0.7878978"," 0.7878978"," 0.3817649","-0.3492743","-0.8366337","-0.9178603","-0.7554072","-1.1615400"
"Homoserine","-0.8438159"," 1.6876319"," 1.1813423"," 1.1813423","-0.1687632","-0.5062896","-0.8438159"," 0.0000000","-1.1813423","-0.5062896"
"Histamine","-0.6368838","-0.6368838"," 1.8805921","-0.6368838","-0.4677996","-0.5617353","-0.5617353","-0.6368838"," 0.6594284"," 1.5987851"
"His"," 0.04049746","-0.07045449","-0.29790598"," 1.04091420"," 1.40705563"," 0.07008465","-0.32934237"," 1.07604898","-1.82719367","-1.10970441"
"Hexylamine"," 1.74910110"," 1.01666502"," 0.00000000"," 0.18584199"," 0.40447963"," 0.08745506","-1.67257793","-1.14784760"," 0.13118258","-0.75429985"
"Hexanoic acid","-0.49574567","-0.49574567"," 1.63758611"," 1.63758611","-0.29257121"," 0.52012660","-1.00368181","-1.32876093","-0.08939676","-0.08939676"
"Heptanoic acid","-1.104552","-1.104552"," 0.985141"," 0.487595"," 0.487595"," 1.482687","-1.104552","-1.104552"," 0.487595"," 0.487595"
"Guanosine","-0.01755584","-1.59758126","-1.53906180","-0.42719206"," 0.15800254"," 0.68467768"," 0.33356092"," 0.04096362"," 1.67950851"," 0.68467768"
"Guanidoacetic acid","-0.02938796"," 0.95021059"," 2.09307556","-0.32326752","-0.02938796","-0.42122737","-1.33551935","-0.78041351","-0.78041351"," 0.65633103"
"Guanidinosuccinic acid"," 1.0165001"," 1.6963250"," 1.0650590"," 0.1586258"," 0.3043026","-0.7154348","-1.1039061","-0.9744157","-0.4888265","-0.9582294"
"GTP","-0.9258201","-0.4629100"," 0.4629100"," 0.9258201"," 2.3145502","-0.4629100","-0.4629100"," 0.0000000","-0.4629100","-0.9258201"
"GMP","-0.8902277","-1.3202893","-1.0335816","-1.1195939"," 0.2852742"," 1.1884038"," 0.8156836"," 1.2314099"," 0.6579944"," 0.1849265"
"Gly-Leu"," 1.5532225"," 1.5934614","-0.3380070"," 0.3058158"," 0.3460547"," 0.1850990","-0.8208740","-0.4587237","-1.2232633","-1.1427854"
"Gly-Gly","-0.6159626","-1.0514916","-1.2381470","-1.0514916","-0.4293072"," 1.2505906"," 1.2505906"," 1.1261538"," 0.3173140"," 0.4417509"
"Glycolic acid"," 0.73220489"," 0.39111566"," 1.18699054"," 1.07329413"," 0.05002642","-0.17736640","-0.40475923","-0.63215205"," 0.05002642","-2.26938038"
"Glycocholic acid","-0.3677641","-1.1850178","-1.1850178"," 0.6538029"," 0.6538029"," 0.6538029","-1.1850178"," 0.6538029","-0.3677641"," 1.6753700"
"Glycerophosphocholine"," 0.5365389"," 0.2879185"," 0.7671143"," 1.0839049"," 1.7194909","-0.9872637","-0.9892687","-0.7606983","-0.7887683","-0.8689685"
"Glycerol 3-phosphate"," 1.964142263","-0.792465680","-0.004413094"," 0.986957058"," 0.263524784"," 0.644942236","-0.694747159","-0.351156232","-0.552897694","-1.463886482"
