"","L1-1","L1-2","L1-3","L1-4","L1-5","L2-1","L2-2","L2-3","L2-4","L2-5"
"Cys"," 1.1793202"," 1.9324687"," 0.8303002"," 0.2792160","-0.4004545","-0.8045830","-0.6943661","-0.6759966","-0.7678440","-0.8780609"
"Cyclohexylamine"," 2.5065299"," 0.6076436","-0.5316882","-0.1519109","-0.1519109","-0.5316882","-1.2912427","-0.1519109","-0.1519109","-0.1519109"
"Creatinine"," 0.0304761"," 0.3352371"," 0.3352371"," 0.6399981","-1.4933288"," 0.0304761","-0.2742849","-1.7980898"," 0.6399981"," 1.5542810"
"Creatine","-1.06217970","-0.72620661"," 0.94261745","-0.89182715","-1.04167430"," 1.00097897","-0.03060037","-0.23565436"," 0.17760831"," 1.86693777"
"CoA_divalent"," 1.11794059"," 0.01876639"," 1.46645924"," 1.01070409","-0.46379790","-0.41017964","-1.69701773","-0.70508004","-0.78550742"," 0.44771242"
"CMP-N-acetylneuraminate","-0.9522309","-0.3335498"," 0.4465263"," 0.5003247"," 2.2487712"," 0.1506354","-0.4411465"," 0.1506354","-0.3066506","-1.4633152"
"CMP","-1.2703236","-1.3837454"," 0.5444244"," 0.6578462"," 0.6578462","-0.4763714","-0.5897931","-0.2495279"," 0.2041592"," 1.9054854"
"Citrulline","-1.06476682"," 1.77832783"," 1.27660525"," 0.05017226","-0.15423324","-0.19139788","-0.82319669","-0.84177901","-0.91610828"," 0.88637657"
"Citric acid","-0.189782227"," 1.391736330"," 2.199143172","-0.639266448"," 0.001664756","-0.739151831","-0.714180485","-0.256372482","-0.297991391","-0.755799395"
"cis-Aconitic acid"," 1.0724636"," 1.8610397"," 1.3353223","-0.6098322","-0.6098322","-0.6098322","-0.6098322","-0.6098322","-0.6098322","-0.6098322"
"Choline","-1.48346136","-1.00956857","-0.74608227","-0.49837645","-0.50363661"," 0.86065816"," 1.10214743","-0.07086873"," 1.20304690"," 1.14614151"
"Cholic acid","-0.687673154","-0.718649422","-0.811578227","-0.811578227","-0.656696886"," 1.914333374"," 0.024781015"," 0.148686087","-0.006195254"," 1.604570692"
"CDP-choline","-1.4306294"," 0.3576574","-0.9196903","-1.4306294","-0.1532817"," 1.6350050"," 0.7408617"," 0.3576574"," 0.7408617"," 0.1021878"
"CDP"," 0.2816319","-1.3276934"," 0.2816319"," 1.2874603"," 1.2874603"," 0.2816319"," 0.2816319","-1.3276934"," 0.2816319","-1.3276934"
"Carnosine"," 1.18554552"," 0.18084593","-0.82385366","-0.82385366","-0.82385366"," 1.98930519","-0.02009399"," 0.58272576","-1.02479358","-0.42197383"
"Carnitine","-0.7566238","-0.8603936","-0.8163475","-1.0612144","-1.0813711"," 1.3993995"," 0.8126147"," 0.5938769"," 0.5789460"," 1.1911133"
"Carboxymethyllysine","-0.7745967"," 1.1618950","-0.7745967"," 1.1618950"," 1.1618950","-0.7745967","-0.7745967","-0.7745967"," 1.1618950","-0.7745967"
